"estado","candidato","votos","ano","turno","nome","porcentagem"
"Tocantins","Luiz Inácio Lula da Silva",27888,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",9.65
"Maranhão","Luiz Inácio Lula da Silva",255586,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",19.67
"Piauí","Luiz Inácio Lula da Silva",219406,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",22.73
"Ceará","Luiz Inácio Lula da Silva",321526,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",12.36
"R. G. do Norte","Luiz Inácio Lula da Silva",239010,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",24.4
"Paraíba","Luiz Inácio Lula da Silva",313895,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",24.14
"Pernambuco","Luiz Inácio Lula da Silva",950189,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",33.61
"Alagoas","Luiz Inácio Lula da Silva",76227,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",8.85
"Sergipe","Luiz Inácio Lula da Silva",108002,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",18.19
"Bahia","Luiz Inácio Lula da Silva",1050444,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",25.93
"Minas Gerais","Luiz Inácio Lula da Silva",1792789,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",23.11
"Espírito Santo","Luiz Inácio Lula da Silva",264983,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",22.39
"Rio de Janeiro","Luiz Inácio Lula da Silva",904223,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",12.22
"São Paulo","Luiz Inácio Lula da Silva",2921970,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",17.45
"Paraná","Luiz Inácio Lula da Silva",353907,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",8.27
"Santa Catarina","Luiz Inácio Lula da Silva",255015,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",10.58
"R. G. do Sul","Luiz Inácio Lula da Silva",350062,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",6.72
"M. G. do Sul","Luiz Inácio Lula da Silva",73697,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",8.99
