"estado","candidato","votos","ano","turno","nome","porcentagem"
"Alagoas","Luiz Inácio Lula da Silva",625162,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",46.62
"Sergipe","Luiz Inácio Lula da Silva",476399,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",47.33
"Bahia","Luiz Inácio Lula da Silva",4293200,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",66.64
"Minas Gerais","Luiz Inácio Lula da Silva",5192439,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",50.78
"Espírito Santo","Luiz Inácio Lula da Silva",953609,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",52.95
"Rio de Janeiro","Luiz Inácio Lula da Silva",4092648,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",49.15
"São Paulo","Luiz Inácio Lula da Silva",8091867,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",36.76
"Paraná","Luiz Inácio Lula da Silva",2111589,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",37.89
"Santa Catarina","Luiz Inácio Lula da Silva",1108851,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",33.21
"R. G. do Sul","Luiz Inácio Lula da Silva",2052656,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",33.05
"Mato Grosso","Luiz Inácio Lula da Silva",557244,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",38.65
"Goiás","Luiz Inácio Lula da Silva",1143122,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",40.16
"Distrito Federal","Luiz Inácio Lula da Silva",499407,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",37.03
"Rondônia","Luiz Inácio Lula da Silva",397327,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",55.33
"Acre","Luiz Inácio Lula da Silva",151584,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",52.36
"Amazonas","Luiz Inácio Lula da Silva",1159709,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",86.8
"Roraima","Luiz Inácio Lula da Silva",66932,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",38.51
"Pará","Luiz Inácio Lula da Silva",1840154,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",60.12
"Amapá","Luiz Inácio Lula da Silva",191698,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",70.4
"Tocantins","Luiz Inácio Lula da Silva",447849,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",70.27
"Maranhão","Luiz Inácio Lula da Silva",2280520,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",84.63
"Piauí","Luiz Inácio Lula da Silva",1216842,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",77.32
"Ceará","Luiz Inácio Lula da Silva",3394007,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",82.38
"R. G. do Norte","Luiz Inácio Lula da Silva",1099150,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",69.73
"Paraíba","Luiz Inácio Lula da Silva",1478378,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",75.01
"Pernambuco","Luiz Inácio Lula da Silva",3260996,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",78.48
"Alagoas","Luiz Inácio Lula da Silva",822505,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",61.45
"Sergipe","Luiz Inácio Lula da Silva",611337,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",60.16
"Bahia","Luiz Inácio Lula da Silva",5188314,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",78.08
"Minas Gerais","Luiz Inácio Lula da Silva",6808417,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",65.19
"Espírito Santo","Luiz Inácio Lula da Silva",1190459,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",65.54
"Rio de Janeiro","Luiz Inácio Lula da Silva",5532284,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",69.69
"São Paulo","Luiz Inácio Lula da Silva",10684776,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",47.74
"Paraná","Luiz Inácio Lula da Silva",2663423,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",49.25
"Santa Catarina","Luiz Inácio Lula da Silva",1481344,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",45.47
"R. G. do Sul","Luiz Inácio Lula da Silva",2811658,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",44.65
"Mato Grosso","Luiz Inácio Lula da Silva",711177,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",49.69
"Goiás","Luiz Inácio Lula da Silva",1485280,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",54.78
"Distrito Federal","Luiz Inácio Lula da Silva",765008,2006,"Turno 2","2006 - Luiz Inácio Lula da Silva",56.96
"Rondônia","Dilma Rousseff ",321712,2010,"Turno 1","2010 - Dilma Rousseff ",40.74
"Acre","Dilma Rousseff ",82733,2010,"Turno 1","2010 - Dilma Rousseff ",23.92
"Amazonas","Dilma Rousseff ",991128,2010,"Turno 1","2010 - Dilma Rousseff ",64.98
"Roraima","Dilma Rousseff ",63927,2010,"Turno 1","2010 - Dilma Rousseff ",28.72
"Pará","Dilma Rousseff ",1699799,2010,"Turno 1","2010 - Dilma Rousseff ",47.93
"Amapá","Dilma Rousseff ",161443,2010,"Turno 1","2010 - Dilma Rousseff ",47.38
"Tocantins","Dilma Rousseff ",362383,2010,"Turno 1","2010 - Dilma Rousseff ",50.98
"Maranhão","Dilma Rousseff ",2079650,2010,"Turno 1","2010 - Dilma Rousseff ",70.65
"Piauí","Dilma Rousseff ",1088205,2010,"Turno 1","2010 - Dilma Rousseff ",67.09
"Ceará","Dilma Rousseff ",2783451,2010,"Turno 1","2010 - Dilma Rousseff ",66.3
"R. G. do Norte","Dilma Rousseff ",846416,2010,"Turno 1","2010 - Dilma Rousseff ",51.76
"Paraíba","Dilma Rousseff ",1031185,2010,"Turno 1","2010 - Dilma Rousseff ",53.21
"Pernambuco","Dilma Rousseff ",2748751,2010,"Turno 1","2010 - Dilma Rousseff ",61.74
"Alagoas","Dilma Rousseff ",709844,2010,"Turno 1","2010 - Dilma Rousseff ",50.92
"Sergipe","Dilma Rousseff ",506802,2010,"Turno 1","2010 - Dilma Rousseff ",47.67
"Bahia","Dilma Rousseff ",4188099,2010,"Turno 1","2010 - Dilma Rousseff ",62.62
"Minas Gerais","Dilma Rousseff ",5067399,2010,"Turno 1","2010 - Dilma Rousseff ",46.98
"Espírito Santo","Dilma Rousseff ",717417,2010,"Turno 1","2010 - Dilma Rousseff ",37.25
"Rio de Janeiro","Dilma Rousseff ",3739632,2010,"Turno 1","2010 - Dilma Rousseff ",43.76
"São Paulo","Dilma Rousseff ",8740949,2010,"Turno 1","2010 - Dilma Rousseff ",37.31
"Paraná","Dilma Rousseff ",2311239,2010,"Turno 1","2010 - Dilma Rousseff ",38.94
"Santa Catarina","Dilma Rousseff ",1402566,2010,"Turno 1","2010 - Dilma Rousseff ",38.71
"R. G. do Sul","Dilma Rousseff ",3007263,2010,"Turno 1","2010 - Dilma Rousseff ",46.95
"M. G. do Sul","Dilma Rousseff ",518877,2010,"Turno 1","2010 - Dilma Rousseff ",39.86
"Mato Grosso","Dilma Rousseff ",659771,2010,"Turno 1","2010 - Dilma Rousseff ",42.94
"Goiás","Dilma Rousseff ",1301985,2010,"Turno 1","2010 - Dilma Rousseff ",42.23
"Distrito Federal","Dilma Rousseff ",462441,2010,"Turno 1","2010 - Dilma Rousseff ",31.74
"Rondônia","Dilma Rousseff ",347138,2010,"Turno 2","2010 - Dilma Rousseff ",47.37
"Acre","Dilma Rousseff ",96969,2010,"Turno 2","2010 - Dilma Rousseff ",30.33
"Amazonas","Dilma Rousseff ",1141607,2010,"Turno 2","2010 - Dilma Rousseff ",80.57
"Roraima","Dilma Rousseff ",71280,2010,"Turno 2","2010 - Dilma Rousseff ",33.44
"Pará","Dilma Rousseff ",1791443,2010,"Turno 2","2010 - Dilma Rousseff ",53.2
"Amapá","Dilma Rousseff ",198644,2010,"Turno 2","2010 - Dilma Rousseff ",62.66
"Tocantins","Dilma Rousseff ",391279,2010,"Turno 2","2010 - Dilma Rousseff ",58.88
"Maranhão","Dilma Rousseff ",2294146,2010,"Turno 2","2010 - Dilma Rousseff ",79.09
"Piauí","Dilma Rousseff ",1112380,2010,"Turno 2","2010 - Dilma Rousseff ",69.98
"Ceará","Dilma Rousseff ",3288570,2010,"Turno 2","2010 - Dilma Rousseff ",77.35
"R. G. do Norte","Dilma Rousseff ",979772,2010,"Turno 2","2010 - Dilma Rousseff ",59.54
"Paraíba","Dilma Rousseff ",1229391,2010,"Turno 2","2010 - Dilma Rousseff ",61.55
"Pernambuco","Dilma Rousseff ",3457953,2010,"Turno 2","2010 - Dilma Rousseff ",75.65
"Alagoas","Dilma Rousseff ",737236,2010,"Turno 2","2010 - Dilma Rousseff ",53.63
"Sergipe","Dilma Rousseff ",568862,2010,"Turno 2","2010 - Dilma Rousseff ",53.56
"Bahia","Dilma Rousseff ",4737079,2010,"Turno 2","2010 - Dilma Rousseff ",70.85
"Minas Gerais","Dilma Rousseff ",6220125,2010,"Turno 2","2010 - Dilma Rousseff ",58.45
"Espírito Santo","Dilma Rousseff ",924046,2010,"Turno 2","2010 - Dilma Rousseff ",49.17
"Rio de Janeiro","Dilma Rousseff ",4934077,2010,"Turno 2","2010 - Dilma Rousseff ",60.48
"São Paulo","Dilma Rousseff ",10462447,2010,"Turno 2","2010 - Dilma Rousseff ",45.95
"Paraná","Dilma Rousseff ",2593086,2010,"Turno 2","2010 - Dilma Rousseff ",44.56
"Santa Catarina","Dilma Rousseff ",1556226,2010,"Turno 2","2010 - Dilma Rousseff ",43.39
"R. G. do Sul","Dilma Rousseff ",3117761,2010,"Turno 2","2010 - Dilma Rousseff ",49.06
"M. G. do Sul","Dilma Rousseff ",555283,2010,"Turno 2","2010 - Dilma Rousseff ",44.87
"Mato Grosso","Dilma Rousseff ",729747,2010,"Turno 2","2010 - Dilma Rousseff ",48.89
"Goiás","Dilma Rousseff ",1446178,2010,"Turno 2","2010 - Dilma Rousseff ",49.25
"Distrito Federal","Dilma Rousseff ",708674,2010,"Turno 2","2010 - Dilma Rousseff ",52.81
"Rondônia","José Serra",358435,2010,"Turno 1","2010 - José Serra",45.39
"Acre","José Serra",180252,2010,"Turno 1","2010 - José Serra",52.12
"Amazonas","José Serra",129190,2010,"Turno 1","2010 - José Serra",8.47
"Roraima","José Serra",113601,2010,"Turno 1","2010 - José Serra",51.03
"Pará","José Serra",1336887,2010,"Turno 1","2010 - José Serra",37.7
"Amapá","José Serra",72774,2010,"Turno 1","2010 - José Serra",21.36
"Tocantins","José Serra",198979,2010,"Turno 1","2010 - José Serra",27.99
"Maranhão","José Serra",444145,2010,"Turno 1","2010 - José Serra",15.09
"Piauí","José Serra",339445,2010,"Turno 1","2010 - José Serra",20.93
"Ceará","José Serra",686891,2010,"Turno 1","2010 - José Serra",16.36
"R. G. do Norte","José Serra",460107,2010,"Turno 1","2010 - José Serra",28.14
"Paraíba","José Serra",551053,2010,"Turno 1","2010 - José Serra",28.43
"Pernambuco","José Serra",773374,2010,"Turno 1","2010 - José Serra",17.37
"Alagoas","José Serra",508232,2010,"Turno 1","2010 - José Serra",36.46
"Sergipe","José Serra",404584,2010,"Turno 1","2010 - José Serra",38.05
"Bahia","José Serra",1403153,2010,"Turno 1","2010 - José Serra",20.98
"Minas Gerais","José Serra",3317872,2010,"Turno 1","2010 - José Serra",30.76
"Espírito Santo","José Serra",682590,2010,"Turno 1","2010 - José Serra",35.44
"Rio de Janeiro","José Serra",1925166,2010,"Turno 1","2010 - José Serra",22.53
"São Paulo","José Serra",9524050,2010,"Turno 1","2010 - José Serra",40.66
"Paraná","José Serra",2607664,2010,"Turno 1","2010 - José Serra",43.94
"Santa Catarina","José Serra",1658161,2010,"Turno 1","2010 - José Serra",45.77
"R. G. do Sul","José Serra",2600389,2010,"Turno 1","2010 - José Serra",40.59
"M. G. do Sul","José Serra",551296,2010,"Turno 1","2010 - José Serra",42.35
"Mato Grosso","José Serra",678614,2010,"Turno 1","2010 - José Serra",44.16
"Goiás","José Serra",1217203,2010,"Turno 1","2010 - José Serra",39.48
"Distrito Federal","José Serra",354070,2010,"Turno 1","2010 - José Serra",24.3
"Rondônia","José Serra",385735,2010,"Turno 2","2010 - José Serra",52.63
"Acre","José Serra",222766,2010,"Turno 2","2010 - José Serra",69.67
"Amazonas","José Serra",275333,2010,"Turno 2","2010 - José Serra",19.43
"Roraima","José Serra",141896,2010,"Turno 2","2010 - José Serra",66.56
"Pará","José Serra",1576154,2010,"Turno 2","2010 - José Serra",46.8
"Amapá","José Serra",118360,2010,"Turno 2","2010 - José Serra",37.34
"Tocantins","José Serra",273306,2010,"Turno 2","2010 - José Serra",41.12
"Maranhão","José Serra",606449,2010,"Turno 2","2010 - José Serra",20.91
"Piauí","José Serra",477092,2010,"Turno 2","2010 - José Serra",30.02
"Ceará","José Serra",962729,2010,"Turno 2","2010 - José Serra",22.65
"R. G. do Norte","José Serra",665726,2010,"Turno 2","2010 - José Serra",40.46
"Paraíba","José Serra",767919,2010,"Turno 2","2010 - José Serra",38.45
"Pernambuco","José Serra",1113235,2010,"Turno 2","2010 - José Serra",24.35
"Alagoas","José Serra",637368,2010,"Turno 2","2010 - José Serra",46.37
"Sergipe","José Serra",493280,2010,"Turno 2","2010 - José Serra",46.44
"Bahia","José Serra",1948584,2010,"Turno 2","2010 - José Serra",29.15
"Minas Gerais","José Serra",4422294,2010,"Turno 2","2010 - José Serra",41.55
"Espírito Santo","José Serra",955423,2010,"Turno 2","2010 - José Serra",50.83
"Rio de Janeiro","José Serra",3223891,2010,"Turno 2","2010 - José Serra",39.52
"São Paulo","José Serra",12308483,2010,"Turno 2","2010 - José Serra",54.05
"Paraná","José Serra",3226216,2010,"Turno 2","2010 - José Serra",55.44
"Santa Catarina","José Serra",2030135,2010,"Turno 2","2010 - José Serra",56.61
"R. G. do Sul","José Serra",3237207,2010,"Turno 2","2010 - José Serra",50.94
"M. G. do Sul","José Serra",682305,2010,"Turno 2","2010 - José Serra",55.13
"Mato Grosso","José Serra",762905,2010,"Turno 2","2010 - José Serra",51.11
"Goiás","José Serra",1490368,2010,"Turno 2","2010 - José Serra",50.75
"Distrito Federal","José Serra",633299,2010,"Turno 2","2010 - José Serra",47.19
"Rondônia","Aécio Neves ",371692,2014,"Turno 1","2014 - Aécio Neves ",44.91
"Acre","Aécio Neves ",116015,2014,"Turno 1","2014 - Aécio Neves ",29.08
"Amazonas","Aécio Neves ",325734,2014,"Turno 1","2014 - Aécio Neves ",19.41
"Roraima","Aécio Neves ",108903,2014,"Turno 1","2014 - Aécio Neves ",43.63
"Pará","Aécio Neves ",1057860,2014,"Turno 1","2014 - Aécio Neves ",27.57
"Amapá","Aécio Neves ",99046,2014,"Turno 1","2014 - Aécio Neves ",25.44
"Tocantins","Aécio Neves ",202882,2014,"Turno 1","2014 - Aécio Neves ",27.67
"Maranhão","Aécio Neves ",365443,2014,"Turno 1","2014 - Aécio Neves ",11.62
"Piauí","Aécio Neves ",242069,2014,"Turno 1","2014 - Aécio Neves ",13.84
"Ceará","Aécio Neves ",676743,2014,"Turno 1","2014 - Aécio Neves ",14.97
"R. G. do Norte","Aécio Neves ",329866,2014,"Turno 1","2014 - Aécio Neves ",19.82
"Paraíba","Aécio Neves ",490516,2014,"Turno 1","2014 - Aécio Neves ",23.38
"Pernambuco","Aécio Neves ",284771,2014,"Turno 1","2014 - Aécio Neves ",5.92
"Alagoas","Aécio Neves ",311576,2014,"Turno 1","2014 - Aécio Neves ",22.11
"Sergipe","Aécio Neves ",248424,2014,"Turno 1","2014 - Aécio Neves ",22.68
"Bahia","Aécio Neves ",1276603,2014,"Turno 1","2014 - Aécio Neves ",18.27
"Minas Gerais","Aécio Neves ",4414452,2014,"Turno 1","2014 - Aécio Neves ",39.75
"Espírito Santo","Aécio Neves ",692952,2014,"Turno 1","2014 - Aécio Neves ",35.12
"Rio de Janeiro","Aécio Neves ",2246363,2014,"Turno 1","2014 - Aécio Neves ",26.93
"São Paulo","Aécio Neves ",10152688,2014,"Turno 1","2014 - Aécio Neves ",44.22
"Paraná","Aécio Neves ",3018548,2014,"Turno 1","2014 - Aécio Neves ",49.79
"Santa Catarina","Aécio Neves ",1961224,2014,"Turno 1","2014 - Aécio Neves ",52.89
"R. G. do Sul","Aécio Neves ",2637238,2014,"Turno 1","2014 - Aécio Neves ",41.42
"M. G. do Sul","Aécio Neves ",558331,2014,"Turno 1","2014 - Aécio Neves ",41.31
"Mato Grosso","Aécio Neves ",693251,2014,"Turno 1","2014 - Aécio Neves ",44.47
"Goiás","Aécio Neves ",1340441,2014,"Turno 1","2014 - Aécio Neves ",41.79
"Distrito Federal","Aécio Neves ",568371,2014,"Turno 1","2014 - Aécio Neves ",36.1
"Rondônia","Aécio Neves ",442349,2014,"Turno 2","2014 - Aécio Neves ",54.85
"Acre","Aécio Neves ",243530,2014,"Turno 2","2014 - Aécio Neves ",63.68
"Amazonas","Aécio Neves ",555810,2014,"Turno 2","2014 - Aécio Neves ",34.98
"Roraima","Aécio Neves ",139477,2014,"Turno 2","2014 - Aécio Neves ",58.9
"Pará","Aécio Neves ",1560470,2014,"Turno 2","2014 - Aécio Neves ",42.59
"Amapá","Aécio Neves ",142664,2014,"Turno 2","2014 - Aécio Neves ",38.55
"Tocantins","Aécio Neves ",291848,2014,"Turno 2","2014 - Aécio Neves ",40.51
"Maranhão","Aécio Neves ",667517,2014,"Turno 2","2014 - Aécio Neves ",21.24
"Piauí","Aécio Neves ",383884,2014,"Turno 2","2014 - Aécio Neves ",21.7
"Ceará","Aécio Neves ",1067096,2014,"Turno 2","2014 - Aécio Neves ",23.25
"R. G. do Norte","Aécio Neves ",516011,2014,"Turno 2","2014 - Aécio Neves ",30.04
"Paraíba","Aécio Neves ",767916,2014,"Turno 2","2014 - Aécio Neves ",35.74
"Pernambuco","Aécio Neves ",1459266,2014,"Turno 2","2014 - Aécio Neves ",29.8
"Alagoas","Aécio Neves ",574012,2014,"Turno 2","2014 - Aécio Neves ",37.88
"Sergipe","Aécio Neves ",380222,2014,"Turno 2","2014 - Aécio Neves ",32.99
"Bahia","Aécio Neves ",2151922,2014,"Turno 2","2014 - Aécio Neves ",29.84
"Minas Gerais","Aécio Neves ",5428821,2014,"Turno 2","2014 - Aécio Neves ",47.59
"Espírito Santo","Aécio Neves ",1064067,2014,"Turno 2","2014 - Aécio Neves ",53.85
"Rio de Janeiro","Aécio Neves ",3681088,2014,"Turno 2","2014 - Aécio Neves ",45.06
"São Paulo","Aécio Neves ",15296289,2014,"Turno 2","2014 - Aécio Neves ",64.31
"Paraná","Aécio Neves ",3765025,2014,"Turno 2","2014 - Aécio Neves ",60.98
"Santa Catarina","Aécio Neves ",2469079,2014,"Turno 2","2014 - Aécio Neves ",64.59
"R. G. do Sul","Aécio Neves ",3452455,2014,"Turno 2","2014 - Aécio Neves ",53.53
"M. G. do Sul","Aécio Neves ",762233,2014,"Turno 2","2014 - Aécio Neves ",56.33
"Mato Grosso","Aécio Neves ",864999,2014,"Turno 2","2014 - Aécio Neves ",54.67
"Goiás","Aécio Neves ",1818087,2014,"Turno 2","2014 - Aécio Neves ",57.11
"Distrito Federal","Aécio Neves ",943275,2014,"Turno 2","2014 - Aécio Neves ",61.9
"Rondônia","Dilma Rousseff ",345167,2014,"Turno 1","2014 - Dilma Rousseff ",41.7
"Acre","Dilma Rousseff ",111610,2014,"Turno 1","2014 - Dilma Rousseff ",27.98
"Amazonas","Dilma Rousseff ",915030,2014,"Turno 1","2014 - Dilma Rousseff ",54.54
"Roraima","Dilma Rousseff ",82857,2014,"Turno 1","2014 - Dilma Rousseff ",33.2
"Pará","Dilma Rousseff ",2040696,2014,"Turno 1","2014 - Dilma Rousseff ",53.18
"Amapá","Dilma Rousseff ",198939,2014,"Turno 1","2014 - Dilma Rousseff ",51.1
"Tocantins","Dilma Rousseff ",368348,2014,"Turno 1","2014 - Dilma Rousseff ",50.23
"Maranhão","Dilma Rousseff ",2187668,2014,"Turno 1","2014 - Dilma Rousseff ",69.56
"Piauí","Dilma Rousseff ",1235203,2014,"Turno 1","2014 - Dilma Rousseff ",70.61
"Ceará","Dilma Rousseff ",3087115,2014,"Turno 1","2014 - Dilma Rousseff ",68.3
"R. G. do Norte","Dilma Rousseff ",999452,2014,"Turno 1","2014 - Dilma Rousseff ",60.06
"Paraíba","Dilma Rousseff ",1166632,2014,"Turno 1","2014 - Dilma Rousseff ",55.61
"Pernambuco","Dilma Rousseff ",2126491,2014,"Turno 1","2014 - Dilma Rousseff ",44.22
"Alagoas","Dilma Rousseff ",703674,2014,"Turno 1","2014 - Dilma Rousseff ",49.94
"Sergipe","Dilma Rousseff ",601578,2014,"Turno 1","2014 - Dilma Rousseff ",54.93
"Bahia","Dilma Rousseff ",4292325,2014,"Turno 1","2014 - Dilma Rousseff ",61.44
"Minas Gerais","Dilma Rousseff ",4829513,2014,"Turno 1","2014 - Dilma Rousseff ",43.48
"Espírito Santo","Dilma Rousseff ",653469,2014,"Turno 1","2014 - Dilma Rousseff ",33.12
"Rio de Janeiro","Dilma Rousseff ",2970486,2014,"Turno 1","2014 - Dilma Rousseff ",35.62
"São Paulo","Dilma Rousseff ",5927503,2014,"Turno 1","2014 - Dilma Rousseff ",25.82
"Paraná","Dilma Rousseff ",1972761,2014,"Turno 1","2014 - Dilma Rousseff ",32.54
"Santa Catarina","Dilma Rousseff ",1140432,2014,"Turno 1","2014 - Dilma Rousseff ",30.76
"R. G. do Sul","Dilma Rousseff ",2751098,2014,"Turno 1","2014 - Dilma Rousseff ",43.21
"M. G. do Sul","Dilma Rousseff ",506951,2014,"Turno 1","2014 - Dilma Rousseff ",37.51
"Mato Grosso","Dilma Rousseff ",616265,2014,"Turno 1","2014 - Dilma Rousseff ",39.53
"Goiás","Dilma Rousseff ",1035673,2014,"Turno 1","2014 - Dilma Rousseff ",32.29
"Distrito Federal","Dilma Rousseff ",362511,2014,"Turno 1","2014 - Dilma Rousseff ",23.02
"Rondônia","Dilma Rousseff ",364055,2014,"Turno 2","2014 - Dilma Rousseff ",45.15
"Acre","Dilma Rousseff ",138922,2014,"Turno 2","2014 - Dilma Rousseff ",36.32
"Amazonas","Dilma Rousseff ",1033090,2014,"Turno 2","2014 - Dilma Rousseff ",65.02
"Roraima","Dilma Rousseff ",97329,2014,"Turno 2","2014 - Dilma Rousseff ",41.1
"Pará","Dilma Rousseff ",2103829,2014,"Turno 2","2014 - Dilma Rousseff ",57.41
"Amapá","Dilma Rousseff ",227414,2014,"Turno 2","2014 - Dilma Rousseff ",61.45
"Tocantins","Dilma Rousseff ",428662,2014,"Turno 2","2014 - Dilma Rousseff ",59.49
"Maranhão","Dilma Rousseff ",2475762,2014,"Turno 2","2014 - Dilma Rousseff ",78.76
"Piauí","Dilma Rousseff ",1385096,2014,"Turno 2","2014 - Dilma Rousseff ",78.3
"Ceará","Dilma Rousseff ",3522225,2014,"Turno 2","2014 - Dilma Rousseff ",76.75
"R. G. do Norte","Dilma Rousseff ",1201576,2014,"Turno 2","2014 - Dilma Rousseff ",69.96
"Paraíba","Dilma Rousseff ",1380988,2014,"Turno 2","2014 - Dilma Rousseff ",64.26
"Pernambuco","Dilma Rousseff ",3438165,2014,"Turno 2","2014 - Dilma Rousseff ",70.2
"Alagoas","Dilma Rousseff ",941286,2014,"Turno 2","2014 - Dilma Rousseff ",62.12
"Sergipe","Dilma Rousseff ",772253,2014,"Turno 2","2014 - Dilma Rousseff ",67.01
"Bahia","Dilma Rousseff ",5059228,2014,"Turno 2","2014 - Dilma Rousseff ",70.16
"Minas Gerais","Dilma Rousseff ",5979422,2014,"Turno 2","2014 - Dilma Rousseff ",52.41
"Espírito Santo","Dilma Rousseff ",911906,2014,"Turno 2","2014 - Dilma Rousseff ",46.15
"Rio de Janeiro","Dilma Rousseff ",4488183,2014,"Turno 2","2014 - Dilma Rousseff ",54.94
"São Paulo","Dilma Rousseff ",8488383,2014,"Turno 2","2014 - Dilma Rousseff ",35.69
"Paraná","Dilma Rousseff ",2408740,2014,"Turno 2","2014 - Dilma Rousseff ",39.02
"Santa Catarina","Dilma Rousseff ",1353808,2014,"Turno 2","2014 - Dilma Rousseff ",35.41
"R. G. do Sul","Dilma Rousseff ",2997360,2014,"Turno 2","2014 - Dilma Rousseff ",46.47
"M. G. do Sul","Dilma Rousseff ",590835,2014,"Turno 2","2014 - Dilma Rousseff ",43.67
"Mato Grosso","Dilma Rousseff ",717230,2014,"Turno 2","2014 - Dilma Rousseff ",45.33
"Goiás","Dilma Rousseff ",1365658,2014,"Turno 2","2014 - Dilma Rousseff ",42.89
"Distrito Federal","Dilma Rousseff ",580581,2014,"Turno 2","2014 - Dilma Rousseff ",38.1
